,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0.0,0.3293,0.2453,0.1715,0.0995,0.084,0.0686,0.9916,0.0,0.0,0.0,0.0,0.0,0.9186,0.0465,0.0233,0.0,0.0,0.0,0.9032,0.0538,0.0323,0.0,0.0,0.0
1,1.0,0.3333,0.2434,0.164,0.1005,0.0847,0.0723,0.9576,0.0339,0.0,0.0,0.0,0.0,0.85,0.11,0.03,0.0,0.0,0.0,0.8889,0.0667,0.0333,0.0,0.0,0.0
2,2.0,0.3435,0.2486,0.167,0.0968,0.0778,0.0645,0.9615,0.0288,0.0,0.0,0.0,0.0,0.871,0.086,0.0323,0.0,0.0,0.0,0.8767,0.0685,0.0411,0.0,0.0,0.0
3,3.0,0.3425,0.2449,0.1657,0.0976,0.0792,0.0681,0.99,0.0,0.0,0.0,0.0,0.0,0.8901,0.0659,0.033,0.0,0.0,0.0,0.8767,0.0685,0.0411,0.0,0.0,0.0
4,4.0,0.3407,0.2394,0.1676,0.1013,0.081,0.0681,0.9608,0.0294,0.0,0.0,0.0,0.0,0.8208,0.1415,0.0283,0.0,0.0,0.0,0.8986,0.058,0.029,0.0,0.0,0.0
5,5.0,0.3467,0.2445,0.1679,0.1022,0.0766,0.0602,0.9417,0.0485,0.0,0.0,0.0,0.0,0.875,0.1042,0.0104,0.0,0.0,0.0,0.942,0.029,0.0145,0.0,0.0,0.0
6,6.0,0.3581,0.2485,0.1663,0.0959,0.0724,0.0568,0.9794,0.0103,0.0,0.0,0.0,0.0,0.9605,0.0263,0.0,0.0,0.0,0.0,0.9403,0.0299,0.0149,0.0,0.0,0.0
7,7.0,0.3441,0.2357,0.1635,0.1046,0.0817,0.0684,0.9608,0.0294,0.0,0.0,0.0,0.0,0.7664,0.1776,0.0374,0.0093,0.0,0.0,0.9365,0.0317,0.0159,0.0,0.0,0.0
8,8.0,0.3763,0.243,0.1591,0.0925,0.071,0.0559,0.9612,0.0291,0.0,0.0,0.0,0.0,0.7632,0.193,0.0263,0.0088,0.0,0.0,0.9333,0.0333,0.0167,0.0,0.0,0.0
9,9.0,0.3622,0.2455,0.163,0.1006,0.0724,0.0543,0.9615,0.0288,0.0,0.0,0.0,0.0,0.8077,0.1538,0.0192,0.0096,0.0,0.0,0.9375,0.0312,0.0156,0.0,0.0,0.0
10,10.0,0.3912,0.2505,0.1582,0.0901,0.0615,0.0462,0.931,0.0517,0.0086,0.0,0.0,0.0,0.7045,0.2045,0.0606,0.0227,0.0,0.0,0.9394,0.0303,0.0152,0.0,0.0,0.0
11,11.0,0.3958,0.2523,0.1597,0.088,0.0602,0.0417,0.9717,0.0189,0.0,0.0,0.0,0.0,0.7522,0.2035,0.0265,0.0088,0.0,0.0,0.9344,0.0328,0.0164,0.0,0.0,0.0
12,12.0,0.3833,0.2505,0.1649,0.0921,0.0621,0.045,0.9268,0.0569,0.0081,0.0,0.0,0.0,0.7344,0.2188,0.0312,0.0078,0.0,0.0,0.9394,0.0303,0.0152,0.0,0.0,0.0
13,13.0,0.4043,0.2536,0.1603,0.0885,0.055,0.0359,0.9636,0.0273,0.0,0.0,0.0,0.0,0.7209,0.2326,0.031,0.0078,0.0,0.0,0.9677,0.0161,0.0,0.0,0.0,0.0
14,14.0,0.4146,0.2683,0.1585,0.0829,0.0488,0.0244,0.9369,0.0541,0.0,0.0,0.0,0.0,0.7068,0.2331,0.0376,0.015,0.0,0.0,0.9839,0.0,0.0,0.0,0.0,0.0
15,15.0,0.4081,0.2649,0.1575,0.0835,0.0549,0.0286,0.9369,0.0541,0.0,0.0,0.0,0.0,0.7059,0.2426,0.0294,0.0147,0.0,0.0,0.9661,0.0169,0.0,0.0,0.0,0.0
16,16.0,0.4253,0.2633,0.1544,0.0785,0.0481,0.0278,0.9217,0.0696,0.0,0.0,0.0,0.0,0.7075,0.2585,0.0204,0.0068,0.0,0.0,0.963,0.0185,0.0,0.0,0.0,0.0
17,17.0,0.4348,0.2609,0.1586,0.0767,0.046,0.0205,0.8852,0.0984,0.0082,0.0,0.0,0.0,0.7214,0.2571,0.0143,0.0,0.0,0.0,0.9333,0.0333,0.0167,0.0,0.0,0.0
18,18.0,0.4624,0.2702,0.1588,0.0669,0.0306,0.0084,0.9455,0.0455,0.0,0.0,0.0,0.0,0.7143,0.2571,0.0214,0.0,0.0,0.0,0.9322,0.0339,0.0169,0.0,0.0,0.0
19,19.0,0.4752,0.2711,0.1516,0.0671,0.0292,0.0029,0.8983,0.0763,0.0169,0.0,0.0,0.0,0.6519,0.2658,0.0506,0.019,0.0063,0.0,0.9811,0.0,0.0,0.0,0.0,0.0
20,20.0,0.4676,0.2706,0.1559,0.0676,0.0294,0.0059,0.8583,0.1102,0.0236,0.0,0.0,0.0,0.6452,0.271,0.0645,0.0129,0.0,0.0,0.9643,0.0179,0.0,0.0,0.0,0.0
21,21.0,0.4278,0.254,0.1604,0.0829,0.0481,0.0241,0.8485,0.1061,0.0303,0.0076,0.0,0.0,0.6272,0.284,0.071,0.0118,0.0,0.0,0.9623,0.0189,0.0,0.0,0.0,0.0
