,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0.0,0.4055,0.4055,0.0,0.0,0.0,0.0,0.2288,0.2288,0.1823,0.1823,0.042,0.042,0.4833,0.3106,0.0071,0.0071,0.0,0.0,0.4745,0.3001,0.0212,0.0212,0.0,0.0
1,1.0,0.4547,0.3267,0.0372,0.0,0.0,0.0,0.2877,0.1986,0.1861,0.1411,0.0517,0.0372,0.5063,0.282,0.0075,0.0075,0.0,0.0,0.4785,0.2705,0.0517,0.0225,0.0,0.0
2,2.0,0.403,0.4079,0.0,0.0,0.0,0.0,0.2217,0.2158,0.186,0.198,0.0498,0.0358,0.4736,0.3218,0.0073,0.0073,0.0,0.0,0.4782,0.3004,0.0145,0.0217,0.0,0.0
3,3.0,0.408,0.3927,0.0152,0.0,0.0,0.0,0.2428,0.2,0.1937,0.181,0.0448,0.0448,0.4861,0.3066,0.0076,0.0076,0.0,0.0,0.4671,0.301,0.0375,0.0152,0.0,0.0
4,4.0,0.4132,0.3925,0.0077,0.0,0.0,0.0,0.2401,0.2401,0.19,0.1706,0.038,0.023,0.492,0.2992,0.0077,0.0077,0.0,0.0,0.4777,0.3163,0.0154,0.0,0.0,0.0
5,5.0,0.3953,0.3902,0.0299,0.0075,0.0,0.0,0.2705,0.2412,0.1861,0.1606,0.0225,0.015,0.4971,0.2877,0.0075,0.015,0.0,0.0,0.4353,0.3046,0.08,0.015,0.0,0.0
6,6.0,0.4372,0.3727,0.0,0.0,0.0,0.0,0.2857,0.2549,0.1837,0.1355,0.0239,0.008,0.5173,0.2673,0.008,0.008,0.0,0.0,0.468,0.2857,0.0473,0.016,0.008,0.0
7,7.0,0.4463,0.3575,0.0078,0.0,0.0,0.0,0.2719,0.2478,0.1784,0.1178,0.0308,0.0532,0.5186,0.266,0.0155,0.0,0.0,0.0,0.4758,0.307,0.0308,0.0,0.0,0.0
8,8.0,0.4252,0.3597,0.0294,0.0074,0.0,0.0,0.2839,0.2783,0.1648,0.126,0.0221,0.0148,0.5093,0.2726,0.0148,0.0074,0.0,0.0,0.454,0.2612,0.0926,0.0221,0.0074,0.0
9,9.0,0.4255,0.3851,0.0,0.0,0.0,0.0,0.2933,0.2352,0.1542,0.1345,0.0445,0.0372,0.5199,0.2589,0.015,0.0075,0.0,0.0,0.4547,0.2705,0.08,0.0225,0.0075,0.0
10,10.0,0.4155,0.3747,0.0299,0.0,0.0,0.0,0.3157,0.2352,0.1671,0.1278,0.0299,0.015,0.5108,0.2647,0.015,0.015,0.0,0.0,0.4451,0.3157,0.0445,0.015,0.0075,0.0
11,11.0,0.4185,0.3816,0.0156,0.0,0.0,0.0,0.2975,0.2434,0.1928,0.1256,0.0156,0.0156,0.5124,0.2738,0.0156,0.0,0.0,0.0,0.4441,0.2798,0.0831,0.0233,0.0078,0.0
12,12.0,0.4134,0.3702,0.0315,0.008,0.0,0.0,0.2716,0.2343,0.1689,0.1415,0.0315,0.0545,0.514,0.2654,0.0159,0.008,0.0,0.0,0.4447,0.2897,0.0695,0.0159,0.0159,0.0
13,13.0,0.4155,0.3851,0.0075,0.0075,0.0,0.0,0.282,0.253,0.1861,0.1411,0.015,0.015,0.5244,0.253,0.015,0.0075,0.0,0.0,0.4353,0.2877,0.08,0.0225,0.0075,0.0075
