,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0.0,0.4055,0.4055,0.0,0.0,0.0,0.0,0.2464,0.2231,0.1499,0.1749,0.0572,0.0572,0.49,0.3023,0.0073,0.0073,0.0,0.0,0.4855,0.2968,0.0146,0.0146,0.0,0.0
1,1.0,0.4457,0.331,0.0451,0.0,0.0,0.0,0.2683,0.1951,0.1759,0.1497,0.0669,0.0524,0.4843,0.3086,0.0153,0.0,0.0,0.0,0.4938,0.2858,0.0153,0.0153,0.0,0.0
2,2.0,0.4104,0.4005,0.0,0.0,0.0,0.0,0.2202,0.2261,0.1773,0.1584,0.072,0.058,0.4728,0.3225,0.0074,0.0074,0.0,0.0,0.4867,0.3007,0.0074,0.0148,0.0,0.0
3,3.0,0.4162,0.3782,0.016,0.008,0.0,0.0,0.2486,0.2231,0.1769,0.1355,0.0625,0.0625,0.488,0.3037,0.008,0.008,0.0,0.0,0.478,0.2977,0.0239,0.016,0.0,0.0
4,4.0,0.3972,0.3916,0.0325,0.0,0.0,0.0,0.2794,0.2605,0.153,0.1315,0.0562,0.0164,0.5025,0.2918,0.0082,0.0,0.0,0.0,0.4617,0.3341,0.0164,0.0,0.0,0.0
5,5.0,0.4191,0.3747,0.0164,0.0082,0.0,0.0,0.2794,0.2476,0.1387,0.1387,0.0562,0.0405,0.5174,0.2668,0.0,0.0164,0.0,0.0,0.4512,0.2731,0.0946,0.0164,0.0,0.0
6,6.0,0.4333,0.371,0.0084,0.0,0.0,0.0,0.2919,0.2532,0.1566,0.1346,0.0333,0.0251,0.5226,0.2598,0.0084,0.0084,0.0,0.0,0.4711,0.2919,0.0496,0.0084,0.0,0.0
7,7.0,0.443,0.355,0.0163,0.0,0.0,0.0,0.2774,0.2133,0.1658,0.1376,0.0635,0.048,0.5092,0.2774,0.0163,0.0,0.0,0.0,0.4741,0.3019,0.0402,0.0,0.0,0.0
8,8.0,0.432,0.3782,0.0,0.0,0.0,0.0,0.2611,0.2486,0.1702,0.1355,0.0473,0.0395,0.4978,0.2917,0.008,0.008,0.0,0.0,0.488,0.2796,0.0317,0.008,0.008,0.0
9,9.0,0.4107,0.3787,0.0235,0.0079,0.0,0.0,0.2877,0.2697,0.181,0.1054,0.0313,0.0157,0.5108,0.2817,0.0079,0.0,0.0,0.0,0.4469,0.2877,0.0764,0.0157,0.0079,0.0
10,10.0,0.4136,0.3863,0.0161,0.0,0.0,0.0,0.2938,0.2504,0.1645,0.1223,0.0398,0.0241,0.5301,0.2567,0.0081,0.0,0.0,0.0,0.4401,0.2998,0.0857,0.0081,0.0,0.0
11,11.0,0.4169,0.3763,0.0255,0.0,0.0,0.0,0.309,0.2368,0.1809,0.1216,0.0255,0.0171,0.5143,0.2703,0.0086,0.0086,0.0,0.0,0.4559,0.3027,0.0422,0.0171,0.0086,0.0
12,12.0,0.4333,0.3533,0.0251,0.0084,0.0,0.0,0.3231,0.2792,0.142,0.1045,0.0251,0.0084,0.5276,0.2532,0.0168,0.0,0.0,0.0,0.4604,0.24,0.0968,0.0168,0.0168,0.0084
13,13.0,0.4226,0.3822,0.0086,0.0,0.0,0.0,0.3027,0.2768,0.1442,0.1442,0.0171,0.0,0.5296,0.257,0.0,0.0086,0.0,0.0,0.4668,0.2504,0.0984,0.0086,0.0086,0.0
14,14.0,0.4343,0.3637,0.0174,0.0,0.0,0.0,0.3327,0.261,0.1466,0.1158,0.026,0.0,0.5265,0.2677,0.0,0.0,0.0,0.0,0.4787,0.2811,0.0513,0.0,0.0087,0.0
15,15.0,0.4238,0.3805,0.0092,0.0,0.0,0.0,0.3351,0.2737,0.1621,0.1054,0.0,0.0,0.5436,0.2451,0.0,0.0,0.0,0.0,0.4537,0.2737,0.0886,0.0,0.0,0.0183
16,16.0,0.4209,0.3576,0.0457,0.0,0.0,0.0,0.3378,0.2688,0.1792,0.0893,0.0,0.0,0.5421,0.2472,0.0,0.0,0.0,0.0,0.4511,0.29,0.0893,0.0,0.0,0.0
17,17.0,0.4119,0.3662,0.0377,0.0096,0.0,0.0,0.346,0.3114,0.1347,0.0741,0.0,0.0,0.5374,0.2534,0.0,0.0,0.0,0.0,0.4494,0.2683,0.1178,0.0,0.0,0.0
18,18.0,0.4303,0.3405,0.0551,0.0,0.0,0.0,0.3472,0.2853,0.1487,0.0902,0.0,0.0,0.5239,0.271,0.0,0.0,0.0,0.0,0.4782,0.271,0.0639,0.0094,0.0,0.0
19,19.0,0.418,0.367,0.037,0.0,0.0,0.0,0.3604,0.3133,0.1072,0.0815,0.0,0.0,0.546,0.2418,0.0,0.0,0.0,0.0,0.4485,0.2565,0.1324,0.0,0.0,0.0
20,20.0,0.4245,0.3729,0.019,0.0,0.0,0.0,0.3254,0.2901,0.1678,0.0918,0.0,0.0,0.543,0.246,0.0,0.0,0.0,0.0,0.4676,0.3044,0.047,0.0,0.0,0.0
21,21.0,0.4308,0.3528,0.0377,0.0,0.0,0.0,0.386,0.2901,0.1178,0.0561,0.0096,0.0,0.5486,0.2384,0.0,0.0,0.0,0.0,0.4616,0.2683,0.1005,0.0,0.0,0.0
22,22.0,0.4353,0.3536,0.0299,0.0,0.0,0.0,0.3677,0.2801,0.1498,0.0683,0.0,0.0,0.5582,0.2252,0.0,0.0,0.0,0.0,0.4801,0.2491,0.0962,0.0,0.0,0.0
23,23.0,0.4087,0.3351,0.0927,0.0,0.0,0.0,0.3957,0.2705,0.1189,0.0658,0.0097,0.0,0.5471,0.2405,0.0,0.0,0.0,0.0,0.4467,0.2779,0.1015,0.0097,0.0,0.0
24,24.0,0.4162,0.3727,0.0317,0.0,0.0,0.0,0.3727,0.2877,0.1214,0.0726,0.0107,0.0,0.5488,0.2381,0.0,0.0,0.0,0.0,0.4713,0.2381,0.1214,0.0,0.0,0.0
